month,wear,remaining_hours,residual_life
2023-10-31,0.3399999999999999,87302.16,99.66
2023-11-30,0.6799999999999999,87004.32,99.32
2023-12-31,1.02,86706.48000000001,98.98000000000002
2024-01-31,1.06,86759.04000000002,99.04000000000003
2024-02-29,1.4,86461.20000000003,98.70000000000005
2024-03-31,1.7400000000000002,86163.36000000003,98.36000000000004
2024-04-30,2.08,85865.52000000003,98.02000000000004
2024-05-31,2.42,85567.68000000004,97.68000000000004
2024-06-30,2.76,85269.84000000004,97.34000000000005
2024-07-31,2.8,85322.40000000005,97.40000000000006
2024-08-31,3.14,85024.56000000006,97.06000000000007
2024-09-30,3.4799999999999995,84726.72000000006,96.72000000000008
